frame_id,character,contact_sheet_index,category,pose_label,tentative_sequence,temporal_continuity,confidence,is_sequence_claim,source_bbox_xyxy,visible_pixel_bbox_xyxy,detected_row,horizontal_order,notes
P-R02-C04,poko,11,LOCOMOTION,side_walk_or_shuffle,locomotion_side,plausible_sequence,medium,True,"[189, 71, 235, 127]","[191, 73, 233, 125]",2,4,Side-facing gait-like progression; exact cycle order requires motion QA.
P-R02-C05,poko,12,LOCOMOTION,side_walk_or_shuffle,locomotion_side,plausible_sequence,medium,True,"[253, 72, 301, 126]","[255, 74, 299, 124]",2,5,Side-facing gait-like progression; exact cycle order requires motion QA.
P-R02-C06,poko,13,LOCOMOTION,side_walk_or_shuffle,locomotion_side,plausible_sequence,medium,True,"[326, 72, 373, 126]","[328, 74, 371, 124]",2,6,Side-facing gait-like progression; exact cycle order requires motion QA.
P-R02-C07,poko,14,LOCOMOTION,side_walk_or_shuffle,locomotion_side,plausible_sequence,medium,True,"[387, 72, 436, 126]","[389, 74, 434, 124]",2,7,Side-facing gait-like progression; exact cycle order requires motion QA.
P-R02-C08,poko,15,LOCOMOTION,side_walk_or_shuffle,locomotion_side,plausible_sequence,medium,True,"[452, 71, 499, 127]","[454, 73, 497, 125]",2,8,Side-facing gait-like progression; exact cycle order requires motion QA.
P-R02-C09,poko,16,LOCOMOTION,side_walk_or_shuffle,locomotion_side,plausible_sequence,medium,True,"[512, 71, 558, 126]","[514, 73, 556, 124]",2,9,Side-facing gait-like progression; exact cycle order requires motion QA.
P-R02-C10,poko,17,LOCOMOTION,side_walk_or_shuffle,locomotion_side,plausible_sequence,medium,True,"[574, 72, 626, 126]","[576, 74, 624, 124]",2,10,Side-facing gait-like progression; exact cycle order requires motion QA.
P-R02-C11,poko,18,POSTURE_TRANSITIONS,turn_and_lower,stand_to_sit_or_lie,uncertain_sequence,medium,False,"[645, 71, 695, 128]","[647, 73, 693, 126]",2,11,Body rotates and lowers; likely transitional but not one guaranteed continuous sequence.
P-R02-C12,poko,19,POSTURE_TRANSITIONS,turn_and_lower,stand_to_sit_or_lie,uncertain_sequence,medium,False,"[712, 72, 758, 127]","[714, 74, 756, 125]",2,12,Body rotates and lowers; likely transitional but not one guaranteed continuous sequence.
P-R02-C13,poko,20,POSTURE_TRANSITIONS,turn_and_lower,stand_to_sit_or_lie,uncertain_sequence,medium,False,"[778, 71, 827, 128]","[780, 73, 825, 126]",2,13,Body rotates and lowers; likely transitional but not one guaranteed continuous sequence.
P-R03-C01,poko,21,POSTURE_TRANSITIONS,turn_and_lower,stand_to_sit_or_lie,uncertain_sequence,medium,False,"[12, 140, 58, 191]","[14, 142, 56, 189]",3,1,Body rotates and lowers; likely transitional but not one guaranteed continuous sequence.
P-R03-C02,poko,22,POSTURE_TRANSITIONS,turn_and_lower,stand_to_sit_or_lie,uncertain_sequence,medium,False,"[71, 140, 117, 191]","[73, 142, 115, 189]",3,2,Body rotates and lowers; likely transitional but not one guaranteed continuous sequence.
P-R03-C03,poko,23,POSTURE_TRANSITIONS,turn_and_lower,stand_to_sit_or_lie,uncertain_sequence,medium,False,"[130, 140, 175, 191]","[132, 142, 173, 189]",3,3,Body rotates and lowers; likely transitional but not one guaranteed continuous sequence.
P-R03-C04,poko,24,POSTURE_TRANSITIONS,turn_and_lower,stand_to_sit_or_lie,uncertain_sequence,medium,False,"[187, 141, 233, 191]","[189, 143, 231, 189]",3,4,Body rotates and lowers; likely transitional but not one guaranteed continuous sequence.
P-R03-C05,poko,25,POSTURE_TRANSITIONS,turn_and_lower,stand_to_sit_or_lie,uncertain_sequence,medium,False,"[246, 140, 291, 191]","[248, 142, 289, 189]",3,5,Body rotates and lowers; likely transitional but not one guaranteed continuous sequence.
P-R03-C06,poko,26,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,uncertain_sequence,medium,False,"[312, 143, 365, 187]","[314, 145, 363, 185]",3,6,Progressive low-body and lying poses; several may be separate variants.
P-R03-C07,poko,27,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,uncertain_sequence,medium,False,"[381, 141, 434, 187]","[383, 143, 432, 185]",3,7,Progressive low-body and lying poses; several may be separate variants.
P-R03-C08,poko,28,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,uncertain_sequence,medium,False,"[447, 146, 503, 188]","[449, 148, 501, 186]",3,8,Progressive low-body and lying poses; several may be separate variants.
P-R03-C09,poko,29,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,uncertain_sequence,medium,False,"[516, 139, 566, 189]","[518, 141, 564, 187]",3,9,Progressive low-body and lying poses; several may be separate variants.
P-R03-C10,poko,30,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,uncertain_sequence,medium,False,"[578, 150, 632, 187]","[580, 152, 630, 185]",3,10,Progressive low-body and lying poses; several may be separate variants.
P-R03-C11,poko,31,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,uncertain_sequence,medium,False,"[641, 152, 700, 187]","[643, 154, 698, 185]",3,11,Progressive low-body and lying poses; several may be separate variants.
P-R03-C12,poko,32,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,uncertain_sequence,medium,False,"[711, 138, 756, 189]","[713, 140, 754, 187]",3,12,Progressive low-body and lying poses; several may be separate variants.
P-R03-C13,poko,33,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,uncertain_sequence,medium,False,"[773, 147, 823, 187]","[775, 149, 821, 185]",3,13,Progressive low-body and lying poses; several may be separate variants.
P-R04-C01,poko,34,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,uncertain_sequence,medium,False,"[11, 209, 56, 258]","[13, 211, 54, 256]",4,1,Progressive low-body and lying poses; several may be separate variants.
P-R04-C02,poko,35,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,uncertain_sequence,medium,False,"[71, 212, 118, 258]","[73, 214, 116, 256]",4,2,Progressive low-body and lying poses; several may be separate variants.
P-R04-C03,poko,36,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,uncertain_sequence,medium,False,"[134, 209, 183, 258]","[136, 211, 181, 256]",4,3,Progressive low-body and lying poses; several may be separate variants.
P-R04-C04,poko,37,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,uncertain_sequence,medium,False,"[198, 211, 246, 258]","[200, 213, 244, 256]",4,4,Progressive low-body and lying poses; several may be separate variants.
P-R04-C05,poko,38,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,uncertain_sequence,medium,False,"[263, 217, 314, 258]","[265, 219, 312, 256]",4,5,Progressive low-body and lying poses; several may be separate variants.
P-R04-C06,poko,39,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,uncertain_sequence,medium,False,"[324, 217, 375, 258]","[326, 219, 373, 256]",4,6,Progressive low-body and lying poses; several may be separate variants.
P-R04-C07,poko,40,SLEEP,sleeping_lying,sleep_loop,plausible_sequence,high,True,"[386, 221, 450, 258]","[388, 223, 448, 256]",4,7,Lying poses with sleep symbols and subtle body changes.
P-R04-C08,poko,41,SLEEP,sleeping_lying,sleep_loop,plausible_sequence,high,True,"[463, 221, 523, 258]","[465, 223, 521, 256]",4,8,Lying poses with sleep symbols and subtle body changes.
P-R04-C09,poko,42,SLEEP,sleeping_lying,sleep_loop,plausible_sequence,high,True,"[530, 222, 588, 258]","[532, 224, 586, 256]",4,9,Lying poses with sleep symbols and subtle body changes.
P-R04-C10,poko,43,SLEEP,sleeping_lying,sleep_loop,plausible_sequence,high,True,"[598, 210, 655, 258]","[600, 212, 653, 256]",4,10,Lying poses with sleep symbols and subtle body changes.
P-R04-C11,poko,44,SLEEP,sleeping_lying,sleep_loop,plausible_sequence,high,True,"[661, 210, 719, 258]","[663, 212, 717, 256]",4,11,Lying poses with sleep symbols and subtle body changes.
P-R04-C12,poko,45,SLEEP,sleeping_lying,sleep_loop,plausible_sequence,high,True,"[727, 207, 784, 258]","[729, 209, 782, 256]",4,12,Lying poses with sleep symbols and subtle body changes.
P-R04-C13,poko,46,SLEEP,sleeping_lying,sleep_loop,plausible_sequence,high,True,"[793, 207, 845, 258]","[795, 209, 843, 256]",4,13,Lying poses with sleep symbols and subtle body changes.
P-R05-C01,poko,47,IDLE,front_idle_variants,idle_front,isolated_variants,high,False,"[10, 277, 55, 327]","[12, 279, 53, 325]",5,1,Front neutral/subtle-motion poses.
P-R05-C02,poko,48,IDLE,front_idle_variants,idle_front,isolated_variants,high,False,"[70, 277, 114, 328]","[72, 279, 112, 326]",5,2,Front neutral/subtle-motion poses.
P-R05-C03,poko,49,IDLE,front_idle_variants,idle_front,isolated_variants,high,False,"[131, 277, 176, 328]","[133, 279, 174, 326]",5,3,Front neutral/subtle-motion poses.
P-R05-C04,poko,50,IDLE,front_idle_variants,idle_front,isolated_variants,high,False,"[192, 275, 236, 328]","[194, 277, 234, 326]",5,4,Front neutral/subtle-motion poses.
P-R05-C05,poko,51,IDLE,front_idle_variants,idle_front,isolated_variants,high,False,"[251, 279, 296, 328]","[253, 281, 294, 326]",5,5,Front neutral/subtle-motion poses.
P-R05-C06,poko,52,IDLE,front_idle_variants,idle_front,isolated_variants,high,False,"[311, 277, 355, 328]","[313, 279, 353, 326]",5,6,Front neutral/subtle-motion poses.
P-R05-C07,poko,53,IDLE,front_idle_variants,idle_front,isolated_variants,high,False,"[370, 277, 415, 328]","[372, 279, 413, 326]",5,7,Front neutral/subtle-motion poses.
P-R05-C08,poko,54,IDLE,front_idle_variants,idle_front,isolated_variants,high,False,"[429, 277, 473, 327]","[431, 279, 471, 325]",5,8,Front neutral/subtle-motion poses.
P-R05-C09,poko,55,IDLE,front_idle_variants,idle_front,isolated_variants,high,False,"[482, 277, 526, 327]","[484, 279, 524, 325]",5,9,Front neutral/subtle-motion poses.
P-R05-C10,poko,56,EMOTIONS,surprised_excited,surprise_excited,uncertain_sequence,medium,False,"[543, 274, 596, 323]","[545, 276, 594, 321]",5,10,Open-mouth and raised-body reactions; likely several short reactions.
P-R05-C11,poko,57,EMOTIONS,surprised_excited,surprise_excited,uncertain_sequence,medium,False,"[614, 274, 668, 323]","[616, 276, 666, 321]",5,11,Open-mouth and raised-body reactions; likely several short reactions.
P-R05-C12,poko,58,EMOTIONS,surprised_excited,surprise_excited,uncertain_sequence,medium,False,"[688, 274, 740, 323]","[690, 276, 738, 321]",5,12,Open-mouth and raised-body reactions; likely several short reactions.
P-R05-C13,poko,59,EMOTIONS,surprised_excited,surprise_excited,uncertain_sequence,medium,False,"[753, 277, 802, 328]","[755, 279, 800, 326]",5,13,Open-mouth and raised-body reactions; likely several short reactions.
P-R06-C01,poko,60,EMOTIONS,surprised_excited,surprise_excited,uncertain_sequence,medium,False,"[9, 350, 53, 401]","[11, 352, 51, 399]",6,1,Open-mouth and raised-body reactions; likely several short reactions.
P-R06-C02,poko,61,EMOTIONS,surprised_excited,surprise_excited,uncertain_sequence,medium,False,"[60, 351, 104, 402]","[62, 353, 102, 400]",6,2,Open-mouth and raised-body reactions; likely several short reactions.
P-R06-C03,poko,62,EMOTIONS,surprised_excited,surprise_excited,uncertain_sequence,medium,False,"[161, 351, 205, 402]","[163, 353, 203, 400]",6,3,Open-mouth and raised-body reactions; likely several short reactions.
P-R06-C04,poko,63,EMOTIONS,surprised_excited,surprise_excited,uncertain_sequence,medium,False,"[215, 352, 259, 402]","[217, 354, 257, 400]",6,4,Open-mouth and raised-body reactions; likely several short reactions.
P-R06-C05,poko,64,EMOTIONS,surprised_excited,surprise_excited,uncertain_sequence,medium,False,"[269, 352, 313, 402]","[271, 354, 311, 400]",6,5,Open-mouth and raised-body reactions; likely several short reactions.
P-R06-C06,poko,65,EMOTIONS,love_angry,love_and_angry,isolated_variants,high,False,"[328, 351, 391, 401]","[330, 353, 389, 399]",6,6,Heart reactions followed by anger symbol; not a single sequence.
P-R06-C07,poko,66,EMOTIONS,love_angry,love_and_angry,isolated_variants,high,False,"[395, 351, 439, 402]","[397, 353, 437, 400]",6,7,Heart reactions followed by anger symbol; not a single sequence.
P-R06-C08,poko,67,EMOTIONS,love_angry,love_and_angry,isolated_variants,high,False,"[454, 348, 514, 401]","[456, 350, 512, 399]",6,8,Heart reactions followed by anger symbol; not a single sequence.
P-R06-C09,poko,68,EMOTIONS,love_angry,love_and_angry,isolated_variants,high,False,"[522, 350, 567, 402]","[524, 352, 565, 400]",6,9,Heart reactions followed by anger symbol; not a single sequence.
P-R06-C10,poko,69,EMOTIONS,love_angry,love_and_angry,isolated_variants,high,False,"[581, 352, 629, 403]","[583, 354, 627, 401]",6,10,Heart reactions followed by anger symbol; not a single sequence.
P-R06-C11,poko,70,EMOTIONS,love_angry,love_and_angry,isolated_variants,high,False,"[644, 349, 701, 401]","[646, 351, 699, 399]",6,11,Heart reactions followed by anger symbol; not a single sequence.
P-R06-C12,poko,71,EMOTIONS,love_angry,love_and_angry,isolated_variants,high,False,"[711, 350, 775, 402]","[713, 352, 773, 400]",6,12,Heart reactions followed by anger symbol; not a single sequence.
P-R06-C13,poko,72,EMOTIONS,love_angry,love_and_angry,isolated_variants,high,False,"[781, 351, 825, 402]","[783, 353, 823, 400]",6,13,Heart reactions followed by anger symbol; not a single sequence.
P-R07-C01,poko,73,EMOTIONS,sad_crying,sad_to_crying,plausible_sequence,high,True,"[9, 423, 53, 473]","[11, 425, 51, 471]",7,1,Sad expression progresses into visible tears.
P-R07-C02,poko,74,EMOTIONS,sad_crying,sad_to_crying,plausible_sequence,high,True,"[60, 423, 104, 473]","[62, 425, 102, 471]",7,2,Sad expression progresses into visible tears.
P-R07-C03,poko,75,EMOTIONS,sad_crying,sad_to_crying,plausible_sequence,high,True,"[111, 423, 155, 474]","[113, 425, 153, 472]",7,3,Sad expression progresses into visible tears.
P-R07-C04,poko,76,EMOTIONS,sad_crying,sad_to_crying,plausible_sequence,high,True,"[169, 423, 214, 473]","[171, 425, 212, 471]",7,4,Sad expression progresses into visible tears.
P-R07-C05,poko,77,EMOTIONS,sad_crying,sad_to_crying,plausible_sequence,high,True,"[227, 423, 274, 473]","[229, 425, 272, 471]",7,5,Sad expression progresses into visible tears.
P-R07-C06,poko,78,EMOTIONS,sad_crying,sad_to_crying,plausible_sequence,high,True,"[287, 423, 331, 473]","[289, 425, 329, 471]",7,6,Sad expression progresses into visible tears.
P-R07-C07,poko,79,EMOTIONS,sad_crying,sad_to_crying,plausible_sequence,high,True,"[343, 423, 395, 473]","[345, 425, 393, 471]",7,7,Sad expression progresses into visible tears.
P-R07-C08,poko,80,EMOTIONS,sad_crying,sad_to_crying,plausible_sequence,high,True,"[416, 423, 464, 474]","[418, 425, 462, 472]",7,8,Sad expression progresses into visible tears.
P-R07-C09,poko,81,EMOTIONS,confused,confused_reaction,isolated_variants,high,False,"[482, 421, 539, 474]","[484, 423, 537, 472]",7,9,Question-mark and puzzled variants.
P-R07-C10,poko,82,EMOTIONS,confused,confused_reaction,isolated_variants,high,False,"[562, 424, 606, 475]","[564, 426, 604, 473]",7,10,Question-mark and puzzled variants.
P-R07-C11,poko,83,EMOTIONS,confused,confused_reaction,isolated_variants,high,False,"[627, 422, 683, 474]","[629, 424, 681, 472]",7,11,Question-mark and puzzled variants.
P-R07-C12,poko,84,EMOTIONS,confused,confused_reaction,isolated_variants,high,False,"[696, 423, 740, 474]","[698, 425, 738, 472]",7,12,Question-mark and puzzled variants.
P-R07-C13,poko,85,EMOTIONS,confused,confused_reaction,isolated_variants,high,False,"[754, 422, 810, 473]","[756, 424, 808, 471]",7,13,Question-mark and puzzled variants.
P-R08-C01,poko,86,EMOTIONS,confused,confused_reaction,isolated_variants,high,False,"[9, 496, 53, 546]","[11, 498, 51, 544]",8,1,Question-mark and puzzled variants.
P-R08-C02,poko,87,EMOTIONS,confused,confused_reaction,isolated_variants,high,False,"[61, 496, 104, 546]","[63, 498, 102, 544]",8,2,Question-mark and puzzled variants.
P-R08-C03,poko,88,EMOTIONS,confused,confused_reaction,isolated_variants,high,False,"[113, 496, 158, 546]","[115, 498, 156, 544]",8,3,Question-mark and puzzled variants.
P-R08-C04,poko,89,EMOTIONS,surprised_proud_happy,positive_reactions,uncertain_sequence,medium,False,"[171, 489, 214, 546]","[173, 491, 212, 544]",8,4,"Sparkle, open-mouth, and happy poses; likely multiple reactions."
P-R08-C05,poko,90,EMOTIONS,surprised_proud_happy,positive_reactions,uncertain_sequence,medium,False,"[225, 496, 269, 546]","[227, 498, 267, 544]",8,5,"Sparkle, open-mouth, and happy poses; likely multiple reactions."
P-R08-C06,poko,91,EMOTIONS,surprised_proud_happy,positive_reactions,uncertain_sequence,medium,False,"[284, 496, 327, 546]","[286, 498, 325, 544]",8,6,"Sparkle, open-mouth, and happy poses; likely multiple reactions."
P-R08-C07,poko,92,EMOTIONS,surprised_proud_happy,positive_reactions,uncertain_sequence,medium,False,"[337, 488, 394, 546]","[339, 490, 392, 544]",8,7,"Sparkle, open-mouth, and happy poses; likely multiple reactions."
P-R08-C08,poko,93,EMOTIONS,surprised_proud_happy,positive_reactions,uncertain_sequence,medium,False,"[409, 488, 452, 546]","[411, 490, 450, 544]",8,8,"Sparkle, open-mouth, and happy poses; likely multiple reactions."
P-R08-C09,poko,94,EMOTIONS,surprised_proud_happy,positive_reactions,uncertain_sequence,medium,False,"[465, 486, 521, 546]","[467, 488, 519, 544]",8,9,"Sparkle, open-mouth, and happy poses; likely multiple reactions."
P-R08-C10,poko,95,EMOTIONS,surprised_proud_happy,positive_reactions,uncertain_sequence,medium,False,"[545, 494, 600, 546]","[547, 496, 598, 544]",8,10,"Sparkle, open-mouth, and happy poses; likely multiple reactions."
P-R08-C11,poko,96,EMOTIONS,surprised_proud_happy,positive_reactions,uncertain_sequence,medium,False,"[612, 498, 657, 547]","[614, 500, 655, 545]",8,11,"Sparkle, open-mouth, and happy poses; likely multiple reactions."
P-R08-C12,poko,97,EMOTIONS,tired_embarrassed_happy,mixed_reactions,isolated_variants,medium,False,"[669, 497, 714, 547]","[671, 499, 712, 545]",8,12,"Mixed subtle reactions, not one animation."
P-R08-C13,poko,98,EMOTIONS,tired_embarrassed_happy,mixed_reactions,isolated_variants,medium,False,"[724, 498, 768, 547]","[726, 500, 766, 545]",8,13,"Mixed subtle reactions, not one animation."
P-R09-C01,poko,99,EMOTIONS,tired_embarrassed_happy,mixed_reactions,isolated_variants,medium,False,"[9, 574, 56, 624]","[11, 576, 54, 622]",9,1,"Mixed subtle reactions, not one animation."
P-R09-C02,poko,100,EMOTIONS,tired_embarrassed_happy,mixed_reactions,isolated_variants,medium,False,"[68, 574, 121, 623]","[70, 576, 119, 621]",9,2,"Mixed subtle reactions, not one animation."
P-R09-C03,poko,101,EMOTIONS,tired_embarrassed_happy,mixed_reactions,isolated_variants,medium,False,"[129, 574, 181, 624]","[131, 576, 179, 622]",9,3,"Mixed subtle reactions, not one animation."
P-R09-C04,poko,102,EMOTIONS,tired_embarrassed_happy,mixed_reactions,isolated_variants,medium,False,"[190, 573, 236, 626]","[192, 575, 234, 624]",9,4,"Mixed subtle reactions, not one animation."
P-R09-C05,poko,103,EMOTIONS,tired_embarrassed_happy,mixed_reactions,isolated_variants,medium,False,"[245, 573, 291, 624]","[247, 575, 289, 622]",9,5,"Mixed subtle reactions, not one animation."
P-R09-C06,poko,104,EMOTIONS,tired_embarrassed_happy,mixed_reactions,isolated_variants,medium,False,"[301, 573, 346, 624]","[303, 575, 344, 622]",9,6,"Mixed subtle reactions, not one animation."
P-R09-C07,poko,105,ACTIVITIES,drinking,drink,plausible_sequence,high,True,"[359, 574, 414, 624]","[361, 576, 412, 622]",9,7,Cup/bottle interaction with repeated sipping poses.
P-R09-C08,poko,106,ACTIVITIES,drinking,drink,plausible_sequence,high,True,"[425, 574, 477, 625]","[427, 576, 475, 623]",9,8,Cup/bottle interaction with repeated sipping poses.
P-R09-C09,poko,107,ACTIVITIES,drinking,drink,plausible_sequence,high,True,"[487, 575, 533, 625]","[489, 577, 531, 623]",9,9,Cup/bottle interaction with repeated sipping poses.
P-R09-C10,poko,108,ACTIVITIES,drinking,drink,plausible_sequence,high,True,"[543, 576, 589, 625]","[545, 578, 587, 623]",9,10,Cup/bottle interaction with repeated sipping poses.
P-R09-C11,poko,109,ACTIVITIES,drinking,drink,plausible_sequence,high,True,"[597, 576, 645, 625]","[599, 578, 643, 623]",9,11,Cup/bottle interaction with repeated sipping poses.
P-R09-C12,poko,110,ACTIVITIES,drinking,drink,plausible_sequence,high,True,"[653, 574, 698, 625]","[655, 576, 696, 623]",9,12,Cup/bottle interaction with repeated sipping poses.
P-R09-C13,poko,111,ACTIVITIES,drinking,drink,plausible_sequence,high,True,"[710, 577, 758, 625]","[712, 579, 756, 623]",9,13,Cup/bottle interaction with repeated sipping poses.
P-R09-C14,poko,112,ACTIVITIES,drinking,drink,plausible_sequence,high,True,"[765, 575, 810, 625]","[767, 577, 808, 623]",9,14,Cup/bottle interaction with repeated sipping poses.
P-R10-C01,poko,113,ACTIVITIES,eating,eat,plausible_sequence,high,True,"[9, 641, 61, 693]","[11, 643, 59, 691]",10,1,Food interaction and chewing progression.
P-R10-C02,poko,114,ACTIVITIES,eating,eat,plausible_sequence,high,True,"[68, 641, 119, 693]","[70, 643, 117, 691]",10,2,Food interaction and chewing progression.
P-R10-C03,poko,115,ACTIVITIES,eating,eat,plausible_sequence,high,True,"[129, 641, 193, 693]","[131, 643, 191, 691]",10,3,Food interaction and chewing progression.
P-R10-C04,poko,116,ACTIVITIES,eating,eat,plausible_sequence,high,True,"[198, 645, 249, 692]","[200, 647, 247, 690]",10,4,Food interaction and chewing progression.
P-R10-C05,poko,117,ACTIVITIES,eating,eat,plausible_sequence,high,True,"[254, 645, 305, 693]","[256, 647, 303, 691]",10,5,Food interaction and chewing progression.
P-R10-C06,poko,118,ACTIVITIES,eating,eat,plausible_sequence,high,True,"[307, 646, 358, 693]","[309, 648, 356, 691]",10,6,Food interaction and chewing progression.
P-R10-C07,poko,119,ACTIVITIES,eating,eat,plausible_sequence,high,True,"[361, 646, 418, 694]","[363, 648, 416, 692]",10,7,Food interaction and chewing progression.
P-R10-C08,poko,120,ACTIVITIES,eating,eat,plausible_sequence,high,True,"[426, 644, 474, 695]","[428, 646, 472, 693]",10,8,Food interaction and chewing progression.
P-R10-C09,poko,121,ACTIVITIES,eating,eat,plausible_sequence,high,True,"[483, 644, 534, 695]","[485, 646, 532, 693]",10,9,Food interaction and chewing progression.
P-R10-C10,poko,122,ACTIVITIES,eating,eat,plausible_sequence,high,True,"[544, 643, 594, 695]","[546, 645, 592, 693]",10,10,Food interaction and chewing progression.
P-R10-C11,poko,123,ACTIVITIES,eating,eat,plausible_sequence,high,True,"[608, 643, 659, 695]","[610, 645, 657, 693]",10,11,Food interaction and chewing progression.
P-R11-C01,poko,124,ACTIVITIES,music_dance,music,plausible_sequence,high,True,"[8, 716, 70, 769]","[10, 718, 68, 767]",11,1,Music-note effects and rhythmic body movement.
P-R11-C02,poko,125,ACTIVITIES,music_dance,music,plausible_sequence,high,True,"[76, 717, 139, 769]","[78, 719, 137, 767]",11,2,Music-note effects and rhythmic body movement.
P-R11-C03,poko,126,ACTIVITIES,music_dance,music,plausible_sequence,high,True,"[147, 715, 210, 769]","[149, 717, 208, 767]",11,3,Music-note effects and rhythmic body movement.
P-R11-C04,poko,127,ACTIVITIES,music_dance,music,plausible_sequence,high,True,"[217, 715, 281, 769]","[219, 717, 279, 767]",11,4,Music-note effects and rhythmic body movement.
P-R11-C05,poko,128,ACTIVITIES,music_dance,music,plausible_sequence,high,True,"[288, 715, 337, 770]","[290, 717, 335, 768]",11,5,Music-note effects and rhythmic body movement.
P-R11-C06,poko,129,ACTIVITIES,music_dance,music,plausible_sequence,high,True,"[351, 717, 409, 771]","[353, 719, 407, 769]",11,6,Music-note effects and rhythmic body movement.
P-R11-C07,poko,130,ACTIVITIES,music_dance,music,plausible_sequence,high,True,"[420, 716, 478, 769]","[422, 718, 476, 767]",11,7,Music-note effects and rhythmic body movement.
P-R11-C08,poko,131,ACTIVITIES,music_dance,music,plausible_sequence,high,True,"[482, 717, 531, 770]","[484, 719, 529, 768]",11,8,Music-note effects and rhythmic body movement.
P-R11-C09,poko,132,ACTIVITIES,music_dance,music,plausible_sequence,high,True,"[553, 716, 620, 770]","[555, 718, 618, 768]",11,9,Music-note effects and rhythmic body movement.
P-R11-C10,poko,133,ACTIVITIES,music_dance,music,plausible_sequence,high,True,"[627, 720, 674, 772]","[629, 722, 672, 770]",11,10,Music-note effects and rhythmic body movement.
P-R11-C11,poko,134,ACTIVITIES,music_dance,music,plausible_sequence,high,True,"[701, 717, 765, 774]","[703, 719, 763, 772]",11,11,Music-note effects and rhythmic body movement.
P-R11-C12,poko,135,ACTIVITIES,music_dance,music,plausible_sequence,high,True,"[781, 714, 834, 769]","[783, 716, 832, 767]",11,12,Music-note effects and rhythmic body movement.
P-R12-C01,poko,136,ACTIVITIES,laptop_reading,laptop_and_reading,uncertain_sequence,high,False,"[9, 789, 63, 839]","[11, 791, 61, 837]",12,1,Laptop frames followed by book-reading frames; two activity families.
P-R12-C02,poko,137,ACTIVITIES,laptop_reading,laptop_and_reading,uncertain_sequence,high,False,"[81, 789, 133, 839]","[83, 791, 131, 837]",12,2,Laptop frames followed by book-reading frames; two activity families.
P-R12-C03,poko,138,ACTIVITIES,laptop_reading,laptop_and_reading,uncertain_sequence,high,False,"[146, 789, 195, 839]","[148, 791, 193, 837]",12,3,Laptop frames followed by book-reading frames; two activity families.
