character,sequence,category,frame_id,file,origin,body_center,ground,contact,interaction,prop,placement_offset,anchor_shift_due_to_canvas_extents,body_alignment_exact,would_have_clipped_before_safety_shift
loko,locomotion_side_01,locomotion,L-R01-C11,frame_002.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 89.5}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 41, ""y"": 64}","{""x"": 0, ""y"": 0}",True,False
loko,locomotion_side_02,locomotion,L-R02-C01,frame_000.png,"{""x"": 0, ""y"": 0}","{""x"": 63.5, ""y"": 90.0}","{""x"": 63.5, ""y"": 112}","{""x"": 63.5, ""y"": 112}",null,null,"{""x"": 40, ""y"": 65}","{""x"": 0, ""y"": 0}",True,False
loko,locomotion_side_02,locomotion,L-R02-C02,frame_001.png,"{""x"": 0, ""y"": 0}","{""x"": 63.5, ""y"": 89.5}","{""x"": 63.5, ""y"": 112}","{""x"": 63.5, ""y"": 112}",null,null,"{""x"": 40, ""y"": 64}","{""x"": 0, ""y"": 0}",True,False
loko,locomotion_side_02,locomotion,L-R02-C03,frame_002.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 90.0}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 39, ""y"": 65}","{""x"": 0, ""y"": 0}",True,False
loko,locomotion_side_02,locomotion,L-R02-C04,frame_003.png,"{""x"": 0, ""y"": 0}","{""x"": 63.5, ""y"": 90.0}","{""x"": 63.5, ""y"": 112}","{""x"": 63.5, ""y"": 112}",null,null,"{""x"": 38, ""y"": 65}","{""x"": 0, ""y"": 0}",True,False
loko,locomotion_side_02,locomotion,L-R02-C05,frame_004.png,"{""x"": 0, ""y"": 0}","{""x"": 64.5, ""y"": 90.0}","{""x"": 64.5, ""y"": 112}","{""x"": 64.5, ""y"": 112}",null,null,"{""x"": 38, ""y"": 65}","{""x"": 0, ""y"": 0}",True,False
loko,locomotion_side_02,locomotion,L-R02-C06,frame_005.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 90.0}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 38, ""y"": 65}","{""x"": 0, ""y"": 0}",True,False
loko,locomotion_side_02,locomotion,L-R02-C07,frame_006.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 90.0}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 38, ""y"": 65}","{""x"": 0, ""y"": 0}",True,False
loko,love_reaction,emotions,L-R06-C03,frame_000.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 89.0}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 41, ""y"": 63}","{""x"": 0, ""y"": 0}",True,False
loko,love_reaction,emotions,L-R06-C04,frame_001.png,"{""x"": 0, ""y"": 0}","{""x"": 63.5, ""y"": 93.0}","{""x"": 63.5, ""y"": 112}","{""x"": 63.5, ""y"": 112}","{""x"": 45.49, ""y"": 70.6, ""source_component_area"": 102, ""confidence"": ""heuristic""}","{""x"": 45.49, ""y"": 70.6, ""source_component_area"": 102, ""confidence"": ""heuristic""}","{""x"": 38, ""y"": 64}","{""x"": 0, ""y"": 0}",True,False
loko,love_reaction,emotions,L-R06-C05,frame_002.png,"{""x"": 0, ""y"": 0}","{""x"": 63.5, ""y"": 92.0}","{""x"": 63.5, ""y"": 112}","{""x"": 63.5, ""y"": 112}","{""x"": 35.59, ""y"": 72.19, ""source_component_area"": 150, ""confidence"": ""heuristic""}","{""x"": 35.59, ""y"": 72.19, ""source_component_area"": 150, ""confidence"": ""heuristic""}","{""x"": 26, ""y"": 65}","{""x"": 0, ""y"": 0}",True,False
loko,love_reaction,emotions,L-R06-C06,frame_003.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 92.5}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}","{""x"": 34.91, ""y"": 74.36, ""source_component_area"": 148, ""confidence"": ""heuristic""}","{""x"": 34.91, ""y"": 74.36, ""source_component_area"": 148, ""confidence"": ""heuristic""}","{""x"": 26, ""y"": 67}","{""x"": 0, ""y"": 0}",True,False
loko,love_reaction,emotions,L-R06-C07,frame_004.png,"{""x"": 0, ""y"": 0}","{""x"": 64.5, ""y"": 92.5}","{""x"": 64.5, ""y"": 112}","{""x"": 64.5, ""y"": 112}","{""x"": 39.09, ""y"": 74.56, ""source_component_area"": 148, ""confidence"": ""heuristic""}","{""x"": 39.09, ""y"": 74.56, ""source_component_area"": 148, ""confidence"": ""heuristic""}","{""x"": 30, ""y"": 67}","{""x"": 0, ""y"": 0}",True,False
loko,love_reaction,emotions,L-R06-C08,frame_005.png,"{""x"": 0, ""y"": 0}","{""x"": 64.5, ""y"": 92.0}","{""x"": 64.5, ""y"": 112}","{""x"": 64.5, ""y"": 112}","{""x"": 94.16, ""y"": 75.65, ""source_component_area"": 139, ""confidence"": ""heuristic""}","{""x"": 94.16, ""y"": 75.65, ""source_component_area"": 139, ""confidence"": ""heuristic""}","{""x"": 40, ""y"": 68}","{""x"": 0, ""y"": 0}",True,False
loko,love_reaction,emotions,L-R06-C09,frame_006.png,"{""x"": 0, ""y"": 0}","{""x"": 63.5, ""y"": 91.5}","{""x"": 63.5, ""y"": 112}","{""x"": 63.5, ""y"": 112}",null,null,"{""x"": 40, ""y"": 68}","{""x"": 0, ""y"": 0}",True,False
loko,love_reaction,emotions,L-R06-C10,frame_007.png,"{""x"": 0, ""y"": 0}","{""x"": 64.5, ""y"": 91.5}","{""x"": 64.5, ""y"": 112}","{""x"": 64.5, ""y"": 112}",null,null,"{""x"": 42, ""y"": 68}","{""x"": 0, ""y"": 0}",True,False
loko,music,activities,L-R11-C02,frame_000.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 88.0}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}","{""x"": 91.58, ""y"": 59.34, ""source_component_area"": 175, ""confidence"": ""heuristic""}","{""x"": 91.58, ""y"": 59.34, ""source_component_area"": 175, ""confidence"": ""heuristic""}","{""x"": 39, ""y"": 50}","{""x"": 0, ""y"": 0}",True,False
loko,music,activities,L-R11-C03,frame_001.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 88.5}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}","{""x"": 90.63, ""y"": 55.56, ""source_component_area"": 108, ""confidence"": ""heuristic""}","{""x"": 90.63, ""y"": 55.56, ""source_component_area"": 108, ""confidence"": ""heuristic""}","{""x"": 39, ""y"": 47}","{""x"": 0, ""y"": 0}",True,False
loko,music,activities,L-R11-C04,frame_002.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 88.0}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}","{""x"": 88.5, ""y"": 56.96, ""source_component_area"": 131, ""confidence"": ""heuristic""}","{""x"": 88.5, ""y"": 56.96, ""source_component_area"": 131, ""confidence"": ""heuristic""}","{""x"": 40, ""y"": 48}","{""x"": 0, ""y"": 0}",True,False
loko,music,activities,L-R11-C05,frame_003.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 87.5}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 39, ""y"": 60}","{""x"": 0, ""y"": 0}",True,False
loko,music,activities,L-R11-C06,frame_004.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 88.0}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}","{""x"": 32.57, ""y"": 56.21, ""source_component_area"": 107, ""confidence"": ""heuristic""}","{""x"": 32.57, ""y"": 56.21, ""source_component_area"": 107, ""confidence"": ""heuristic""}","{""x"": 25, ""y"": 46}","{""x"": 0, ""y"": 0}",True,False
loko,music,activities,L-R11-C07,frame_005.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 88.5}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}","{""x"": 29.98, ""y"": 57.89, ""source_component_area"": 170, ""confidence"": ""heuristic""}","{""x"": 29.98, ""y"": 57.89, ""source_component_area"": 170, ""confidence"": ""heuristic""}","{""x"": 21, ""y"": 48}","{""x"": 0, ""y"": 0}",True,False
loko,music,activities,L-R11-C08,frame_006.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 83.5}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 42, ""y"": 52}","{""x"": 0, ""y"": 0}",True,False
loko,music,activities,L-R11-C09,frame_007.png,"{""x"": 0, ""y"": 0}","{""x"": 64.5, ""y"": 89.0}","{""x"": 64.5, ""y"": 112}","{""x"": 64.5, ""y"": 112}","{""x"": 85.88, ""y"": 58.64, ""source_component_area"": 105, ""confidence"": ""heuristic""}","{""x"": 85.88, ""y"": 58.64, ""source_component_area"": 105, ""confidence"": ""heuristic""}","{""x"": 42, ""y"": 50}","{""x"": 0, ""y"": 0}",True,False
loko,music,activities,L-R11-C10,frame_008.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 88.0}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}","{""x"": 94.34, ""y"": 63.09, ""source_component_area"": 129, ""confidence"": ""heuristic""}","{""x"": 94.34, ""y"": 63.09, ""source_component_area"": 129, ""confidence"": ""heuristic""}","{""x"": 39, ""y"": 54}","{""x"": 0, ""y"": 0}",True,False
loko,music,activities,L-R11-C11,frame_009.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 88.0}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}","{""x"": 82.19, ""y"": 57.08, ""source_component_area"": 89, ""confidence"": ""heuristic""}","{""x"": 82.19, ""y"": 57.08, ""source_component_area"": 89, ""confidence"": ""heuristic""}","{""x"": 41, ""y"": 49}","{""x"": 0, ""y"": 0}",True,False
loko,music,activities,L-R11-C12,frame_010.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 89.0}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}","{""x"": 83.41, ""y"": 61.76, ""source_component_area"": 90, ""confidence"": ""heuristic""}","{""x"": 83.41, ""y"": 61.76, ""source_component_area"": 90, ""confidence"": ""heuristic""}","{""x"": 41, ""y"": 53}","{""x"": 0, ""y"": 0}",True,False
loko,peeking_01,activities,L-R14-C10,frame_000.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 92.5}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 40, ""y"": 70}","{""x"": 0, ""y"": 0}",True,False
loko,peeking_01,activities,L-R14-C11,frame_001.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 92.0}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 40, ""y"": 69}","{""x"": 0, ""y"": 0}",True,False
loko,peeking_01,activities,L-R14-C12,frame_002.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 92.0}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 40, ""y"": 69}","{""x"": 0, ""y"": 0}",True,False
loko,peeking_02,activities,L-R15-C01,frame_000.png,"{""x"": 0, ""y"": 0}","{""x"": 64.5, ""y"": 90.0}","{""x"": 64.5, ""y"": 112}","{""x"": 64.5, ""y"": 112}",null,null,"{""x"": 38, ""y"": 65}","{""x"": 0, ""y"": 0}",True,False
loko,peeking_02,activities,L-R15-C02,frame_001.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 90.5}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 37, ""y"": 66}","{""x"": 0, ""y"": 0}",True,False
loko,peeking_02,activities,L-R15-C03,frame_002.png,"{""x"": 0, ""y"": 0}","{""x"": 63.5, ""y"": 92.5}","{""x"": 63.5, ""y"": 112}","{""x"": 63.5, ""y"": 112}",null,null,"{""x"": 36, ""y"": 70}","{""x"": 0, ""y"": 0}",True,False
loko,peeking_02,activities,L-R15-C04,frame_003.png,"{""x"": 0, ""y"": 0}","{""x"": 64.5, ""y"": 92.5}","{""x"": 64.5, ""y"": 112}","{""x"": 64.5, ""y"": 112}",null,null,"{""x"": 38, ""y"": 70}","{""x"": 0, ""y"": 0}",True,False
loko,peeking_02,activities,L-R15-C05,frame_004.png,"{""x"": 0, ""y"": 0}","{""x"": 64.5, ""y"": 92.5}","{""x"": 64.5, ""y"": 112}","{""x"": 64.5, ""y"": 112}",null,null,"{""x"": 38, ""y"": 70}","{""x"": 0, ""y"": 0}",True,False
loko,playing_ball_01,activities,L-R13-C07,frame_000.png,"{""x"": 0, ""y"": 0}","{""x"": 64.5, ""y"": 88.5}","{""x"": 64.5, ""y"": 112}","{""x"": 64.5, ""y"": 112}",null,null,"{""x"": 38, ""y"": 62}","{""x"": 0, ""y"": 0}",True,False
loko,playing_ball_01,activities,L-R13-C08,frame_001.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 86.5}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 37, ""y"": 58}","{""x"": 0, ""y"": 0}",True,False
loko,playing_ball_01,activities,L-R13-C09,frame_002.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 88.5}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 35, ""y"": 62}","{""x"": 0, ""y"": 0}",True,False
loko,playing_ball_01,activities,L-R13-C10,frame_003.png,"{""x"": 0, ""y"": 0}","{""x"": 64.5, ""y"": 90.0}","{""x"": 64.5, ""y"": 112}","{""x"": 64.5, ""y"": 112}",null,null,"{""x"": 36, ""y"": 65}","{""x"": 0, ""y"": 0}",True,False
loko,playing_ball_01,activities,L-R13-C11,frame_004.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 88.0}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 32, ""y"": 61}","{""x"": 0, ""y"": 0}",True,False
loko,playing_ball_01,activities,L-R13-C12,frame_005.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 89.5}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 36, ""y"": 64}","{""x"": 0, ""y"": 0}",True,False
loko,playing_ball_01,activities,L-R13-C13,frame_006.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 88.5}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 38, ""y"": 62}","{""x"": 0, ""y"": 0}",True,False
loko,reading_01,activities,L-R10-C08,frame_000.png,"{""x"": 0, ""y"": 0}","{""x"": 64.5, ""y"": 88.5}","{""x"": 64.5, ""y"": 112}","{""x"": 64.5, ""y"": 112}",null,null,"{""x"": 40, ""y"": 62}","{""x"": 0, ""y"": 0}",True,False
loko,reading_01,activities,L-R10-C09,frame_001.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 89.0}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 37, ""y"": 63}","{""x"": 0, ""y"": 0}",True,False
loko,reading_01,activities,L-R10-C10,frame_002.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 90.0}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 39, ""y"": 65}","{""x"": 0, ""y"": 0}",True,False
loko,reading_01,activities,L-R10-C11,frame_003.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 89.5}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 39, ""y"": 64}","{""x"": 0, ""y"": 0}",True,False
loko,reading_01,activities,L-R10-C12,frame_004.png,"{""x"": 0, ""y"": 0}","{""x"": 64.0, ""y"": 89.5}","{""x"": 64.0, ""y"": 112}","{""x"": 64.0, ""y"": 112}",null,null,"{""x"": 39, ""y"": 64}","{""x"": 0, ""y"": 0}",True,False
