path,id,character,state,direction,frame_count,loop,playback,fps,loop_seam,known_issue_count
characters/poko/animations/activities/playing_ball/animation.json,poko_playing_ball,poko,playing_ball,none,11,False,forward,8,not_applicable_one_shot,1
characters/poko/animations/emotions/sad_to_crying/animation.json,poko_sad_to_crying,poko,sad_reaction,none,8,False,forward,6,not_applicable_one_shot,1
characters/poko/animations/idle/idle_blink/animation.json,poko_idle_blink,poko,idle,none,2,True,forward,6,acceptable,1
characters/poko/animations/idle/idle_look_01/animation.json,poko_idle_look_01,poko,idle,none,2,True,forward,4,acceptable,1
characters/poko/animations/locomotion/locomotion_side/animation.json,poko_locomotion_side,poko,walking,right,9,True,forward,8,acceptable,1
characters/poko/animations/sleeping/sleep_loop_01/animation.json,poko_sleep_loop_01,poko,sleeping,none,7,True,ping_pong,3,imperfect,2
characters/poko/animations/sleeping/sleep_loop_02/animation.json,poko_sleep_loop_02,poko,sleeping,none,4,True,forward,3,acceptable,1
characters/poko/animations/sleeping/sleep_transition/animation.json,poko_sleep_transition,poko,sleep_transition,none,8,False,forward,6,not_applicable_one_shot,1
normalized/loko/activities/drink_02/animation.json,loko_drink_02,loko,drinking,none,7,True,forward,6,acceptable,1
normalized/loko/activities/eat/animation.json,loko_eat,loko,eating,none,9,True,forward,6,acceptable,1
normalized/loko/activities/laptop/animation.json,loko_laptop,loko,laptop,none,12,True,forward,4,acceptable,2
normalized/loko/activities/music/animation.json,loko_music,loko,music,none,11,True,forward,8,acceptable,1
normalized/loko/activities/peeking_01/animation.json,loko_peeking_01,loko,peeking,none,3,False,forward,6,not_applicable_one_shot,1
normalized/loko/activities/peeking_02/animation.json,loko_peeking_02,loko,peeking,none,5,False,forward,6,not_applicable_one_shot,1
normalized/loko/activities/playing_ball_01/animation.json,loko_playing_ball_01,loko,playing_ball,none,7,False,forward,8,not_applicable_one_shot,1
normalized/loko/activities/reading_01/animation.json,loko_reading_01,loko,reading,none,5,True,forward,4,acceptable,1
normalized/loko/emotions/love_reaction/animation.json,loko_love_reaction,loko,love_reaction,none,8,False,forward,6,not_applicable_one_shot,2
normalized/loko/idle/idle_front/animation.json,loko_idle_front,loko,idle,none,8,True,forward,3,acceptable,1
normalized/loko/locomotion/locomotion_side_01/animation.json,loko_locomotion_side_01,loko,walking,right,3,True,forward,8,acceptable,1
normalized/loko/locomotion/locomotion_side_02/animation.json,loko_locomotion_side_02,loko,walking,right,7,True,forward,8,acceptable,1
normalized/loko/locomotion/walk_left/animation.json,loko_walk_left,loko,walking,left,7,True,forward,8,acceptable,1
normalized/loko/locomotion/walk_preparation/animation.json,loko_walk_preparation,loko,walk_preparation,neutral_transition,3,True,forward,8,acceptable,1
normalized/loko/locomotion/walk_right/animation.json,loko_walk_right,loko,walking,right,7,True,forward,8,acceptable,1
normalized/loko/sleeping/sleep_loop/animation.json,loko_sleep_loop,loko,sleeping,none,3,True,forward,3,acceptable,1
normalized/loko/sleeping/sleep_transition/animation.json,loko_sleep_transition,loko,sleep_transition,none,6,False,forward,6,not_applicable_one_shot,1
normalized/poko/activities/drink/animation.json,poko_drink,poko,drinking,none,8,True,forward,6,acceptable,1
normalized/poko/activities/eat/animation.json,poko_eat,poko,eating,none,11,True,forward,6,acceptable,2
normalized/poko/activities/music/animation.json,poko_music,poko,music,none,12,True,forward,8,acceptable,1
normalized/poko/activities/peeking/animation.json,poko_peeking,poko,peeking,none,12,False,forward,6,not_applicable_one_shot,2
normalized/poko/activities/playing_ball/animation.json,poko_playing_ball,poko,playing_ball,none,11,False,forward,8,not_applicable_one_shot,1
normalized/poko/emotions/sad_to_crying/animation.json,poko_sad_to_crying,poko,sad_reaction,none,8,False,forward,6,not_applicable_one_shot,1
normalized/poko/idle/idle_blink/animation.json,poko_idle_blink,poko,idle,none,2,True,forward,6,acceptable,1
normalized/poko/idle/idle_look_01/animation.json,poko_idle_look_01,poko,idle,none,2,True,forward,4,acceptable,1
normalized/poko/locomotion/locomotion_side/animation.json,poko_locomotion_side,poko,walking,right,9,True,forward,8,acceptable,1
normalized/poko/locomotion/walk_left/animation.json,poko_walk_left,poko,walking,left,9,True,forward,8,acceptable,1
normalized/poko/locomotion/walk_right/animation.json,poko_walk_right,poko,walking,right,9,True,forward,8,acceptable,1
normalized/poko/sleeping/sleep_loop_01/animation.json,poko_sleep_loop_01,poko,sleeping,none,7,True,ping_pong,3,imperfect,2
normalized/poko/sleeping/sleep_loop_02/animation.json,poko_sleep_loop_02,poko,sleeping,none,4,True,forward,3,acceptable,1
normalized/poko/sleeping/sleep_transition/animation.json,poko_sleep_transition,poko,sleep_transition,none,8,False,forward,6,not_applicable_one_shot,1
