frame_id,character,category,pose_label,tentative_sequence,body_bbox_xyxy,body_width,body_height,body_area,height_ratio_to_canonical,width_ratio_to_canonical,uniform_scale_factor_applied,resampled,scale_review,scale_note,candidate_file
P-R03-C13,poko,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,"[2, 2, 48, 38]",46,36,1324,0.766,1.122,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P033_row03_slot13.png
P-R04-C01,poko,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,"[2, 2, 43, 47]",41,45,1467,0.9574,1.0,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P034_row04_slot01.png
P-R04-C02,poko,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,"[2, 2, 45, 44]",43,42,1445,0.8936,1.0488,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P035_row04_slot02.png
P-R04-C03,poko,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,"[2, 2, 47, 47]",45,45,1522,0.9574,1.0976,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P036_row04_slot03.png
P-R04-C04,poko,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,"[2, 2, 46, 45]",44,43,1487,0.9149,1.0732,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P037_row04_slot04.png
P-R04-C05,poko,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,"[2, 2, 49, 39]",47,37,1423,0.7872,1.1463,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P038_row04_slot05.png
P-R04-C06,poko,POSTURE_TRANSITIONS,lying_and_roll_variants,sit_to_lie_or_roll,"[2, 2, 49, 39]",47,37,1360,0.7872,1.1463,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P039_row04_slot06.png
P-R04-C07,poko,SLEEP,sleeping_lying,sleep_loop,"[2, 2, 62, 35]",60,33,1579,0.7021,1.4634,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P040_row04_slot07.png
P-R04-C08,poko,SLEEP,sleeping_lying,sleep_loop,"[2, 2, 58, 35]",56,33,1511,0.7021,1.3659,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P041_row04_slot08.png
P-R04-C09,poko,SLEEP,sleeping_lying,sleep_loop,"[2, 2, 56, 34]",54,32,1363,0.6809,1.3171,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P042_row04_slot09.png
P-R04-C10,poko,SLEEP,sleeping_lying,sleep_loop,"[2, 15, 55, 46]",53,31,1261,0.6596,1.2927,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P043_row04_slot10.png
P-R04-C11,poko,SLEEP,sleeping_lying,sleep_loop,"[4, 15, 56, 46]",52,31,1244,0.6596,1.2683,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P044_row04_slot11.png
P-R04-C12,poko,SLEEP,sleeping_lying,sleep_loop,"[3, 18, 55, 49]",52,31,1245,0.6596,1.2683,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P045_row04_slot12.png
P-R04-C13,poko,SLEEP,sleeping_lying,sleep_loop,"[3, 14, 50, 49]",47,35,1217,0.7447,1.1463,1.0,False,excluded_from_upright_scale_fit,"Posture/activity frame excluded from canonical upright fitting because lying, sitting, crouching, jumping, props, or furniture can legitimately alter visible dimensions.",characters/poko/detection_candidates/P046_row04_slot13.png
P-R05-C01,poko,IDLE,front_idle_variants,idle_front,"[2, 2, 43, 48]",41,46,1470,0.9787,1.0,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P047_row05_slot01.png
P-R05-C02,poko,IDLE,front_idle_variants,idle_front,"[2, 2, 42, 49]",40,47,1480,1.0,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P048_row05_slot02.png
P-R05-C03,poko,IDLE,front_idle_variants,idle_front,"[2, 2, 43, 49]",41,47,1499,1.0,1.0,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P049_row05_slot03.png
P-R05-C04,poko,IDLE,front_idle_variants,idle_front,"[2, 2, 42, 51]",40,49,1493,1.0426,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P050_row05_slot04.png
P-R05-C05,poko,IDLE,front_idle_variants,idle_front,"[2, 2, 43, 47]",41,45,1455,0.9574,1.0,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P051_row05_slot05.png
P-R05-C06,poko,IDLE,front_idle_variants,idle_front,"[2, 2, 42, 49]",40,47,1487,1.0,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P052_row05_slot06.png
P-R05-C07,poko,IDLE,front_idle_variants,idle_front,"[2, 2, 43, 49]",41,47,1475,1.0,1.0,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P053_row05_slot07.png
P-R05-C08,poko,IDLE,front_idle_variants,idle_front,"[2, 2, 42, 48]",40,46,1456,0.9787,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P054_row05_slot08.png
P-R05-C09,poko,IDLE,front_idle_variants,idle_front,"[2, 2, 42, 48]",40,46,1442,0.9787,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P055_row05_slot09.png
P-R05-C10,poko,EMOTIONS,surprised_excited,surprise_excited,"[2, 2, 51, 47]",49,45,1503,0.9574,1.1951,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P056_row05_slot10.png
P-R05-C11,poko,EMOTIONS,surprised_excited,surprise_excited,"[2, 2, 52, 47]",50,45,1566,0.9574,1.2195,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P057_row05_slot11.png
P-R05-C12,poko,EMOTIONS,surprised_excited,surprise_excited,"[2, 2, 50, 47]",48,45,1571,0.9574,1.1707,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P058_row05_slot12.png
P-R05-C13,poko,EMOTIONS,surprised_excited,surprise_excited,"[2, 2, 47, 49]",45,47,1525,1.0,1.0976,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P059_row05_slot13.png
P-R06-C01,poko,EMOTIONS,surprised_excited,surprise_excited,"[2, 2, 42, 49]",40,47,1486,1.0,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P060_row06_slot01.png
P-R06-C02,poko,EMOTIONS,surprised_excited,surprise_excited,"[2, 2, 42, 49]",40,47,1478,1.0,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P061_row06_slot02.png
P-R06-C03,poko,EMOTIONS,surprised_excited,surprise_excited,"[2, 2, 42, 49]",40,47,1458,1.0,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P062_row06_slot03.png
P-R06-C04,poko,EMOTIONS,surprised_excited,surprise_excited,"[2, 2, 42, 48]",40,46,1458,0.9787,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P063_row06_slot04.png
P-R06-C05,poko,EMOTIONS,surprised_excited,surprise_excited,"[2, 2, 42, 48]",40,46,1450,0.9787,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P064_row06_slot05.png
P-R06-C06,poko,EMOTIONS,love_angry,love_and_angry,"[2, 2, 45, 48]",43,46,1529,0.9787,1.0488,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P065_row06_slot06.png
P-R06-C07,poko,EMOTIONS,love_angry,love_and_angry,"[2, 2, 42, 49]",40,47,1487,1.0,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P066_row06_slot07.png
P-R06-C08,poko,EMOTIONS,love_angry,love_and_angry,"[2, 2, 45, 51]",43,49,1558,1.0426,1.0488,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P067_row06_slot08.png
P-R06-C09,poko,EMOTIONS,love_angry,love_and_angry,"[2, 2, 43, 50]",41,48,1539,1.0213,1.0,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P068_row06_slot09.png
P-R06-C10,poko,EMOTIONS,love_angry,love_and_angry,"[2, 2, 46, 49]",44,47,1510,1.0,1.0732,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P069_row06_slot10.png
P-R06-C11,poko,EMOTIONS,love_angry,love_and_angry,"[2, 2, 44, 50]",42,48,1529,1.0213,1.0244,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P070_row06_slot11.png
P-R06-C12,poko,EMOTIONS,love_angry,love_and_angry,"[2, 2, 42, 50]",40,48,1518,1.0213,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P071_row06_slot12.png
P-R06-C13,poko,EMOTIONS,love_angry,love_and_angry,"[2, 2, 42, 49]",40,47,1483,1.0,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P072_row06_slot13.png
P-R07-C01,poko,EMOTIONS,sad_crying,sad_to_crying,"[2, 2, 42, 48]",40,46,1466,0.9787,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P073_row07_slot01.png
P-R07-C02,poko,EMOTIONS,sad_crying,sad_to_crying,"[2, 2, 42, 48]",40,46,1452,0.9787,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P074_row07_slot02.png
P-R07-C03,poko,EMOTIONS,sad_crying,sad_to_crying,"[2, 2, 42, 49]",40,47,1482,1.0,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P075_row07_slot03.png
P-R07-C04,poko,EMOTIONS,sad_crying,sad_to_crying,"[2, 2, 43, 48]",41,46,1467,0.9787,1.0,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P076_row07_slot04.png
P-R07-C05,poko,EMOTIONS,sad_crying,sad_to_crying,"[2, 2, 45, 48]",43,46,1495,0.9787,1.0488,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P077_row07_slot05.png
P-R07-C06,poko,EMOTIONS,sad_crying,sad_to_crying,"[2, 2, 42, 48]",40,46,1461,0.9787,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P078_row07_slot06.png
P-R07-C07,poko,EMOTIONS,sad_crying,sad_to_crying,"[2, 2, 50, 48]",48,46,1553,0.9787,1.1707,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P079_row07_slot07.png
P-R07-C08,poko,EMOTIONS,sad_crying,sad_to_crying,"[2, 2, 46, 49]",44,47,1545,1.0,1.0732,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P080_row07_slot08.png
P-R07-C09,poko,EMOTIONS,confused,confused_reaction,"[2, 4, 43, 51]",41,47,1561,1.0,1.0,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P081_row07_slot09.png
P-R07-C10,poko,EMOTIONS,confused,confused_reaction,"[2, 2, 42, 49]",40,47,1451,1.0,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P082_row07_slot10.png
P-R07-C11,poko,EMOTIONS,confused,confused_reaction,"[2, 3, 42, 50]",40,47,1456,1.0,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P083_row07_slot11.png
P-R07-C12,poko,EMOTIONS,confused,confused_reaction,"[2, 2, 42, 49]",40,47,1453,1.0,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P084_row07_slot12.png
P-R07-C13,poko,EMOTIONS,confused,confused_reaction,"[2, 3, 42, 49]",40,46,1449,0.9787,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P085_row07_slot13.png
P-R08-C01,poko,EMOTIONS,confused,confused_reaction,"[2, 2, 42, 48]",40,46,1461,0.9787,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P086_row08_slot01.png
P-R08-C02,poko,EMOTIONS,confused,confused_reaction,"[2, 2, 41, 48]",39,46,1439,0.9787,0.9512,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P087_row08_slot02.png
P-R08-C03,poko,EMOTIONS,confused,confused_reaction,"[2, 2, 43, 48]",41,46,1460,0.9787,1.0,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P088_row08_slot03.png
P-R08-C04,poko,EMOTIONS,surprised_proud_happy,positive_reactions,"[2, 2, 41, 55]",39,53,1584,1.1277,0.9512,1.0,False,intentional_pose_variation_or_manual_review,"Outside the conservative upright-height review band, but preserved at source scale. The visual pose shows likely intentional squash, extension, expression, or orientation change.",characters/poko/detection_candidates/P089_row08_slot04.png
P-R08-C05,poko,EMOTIONS,surprised_proud_happy,positive_reactions,"[2, 2, 42, 48]",40,46,1440,0.9787,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P090_row08_slot05.png
P-R08-C06,poko,EMOTIONS,surprised_proud_happy,positive_reactions,"[2, 2, 41, 48]",39,46,1429,0.9787,0.9512,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P091_row08_slot06.png
P-R08-C07,poko,EMOTIONS,surprised_proud_happy,positive_reactions,"[15, 9, 55, 56]",40,47,1440,1.0,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P092_row08_slot07.png
P-R08-C08,poko,EMOTIONS,surprised_proud_happy,positive_reactions,"[2, 2, 41, 56]",39,54,1467,1.1489,0.9512,1.0,False,intentional_pose_variation_or_manual_review,"Outside the conservative upright-height review band, but preserved at source scale. The visual pose shows likely intentional squash, extension, expression, or orientation change.",characters/poko/detection_candidates/P093_row08_slot08.png
P-R08-C09,poko,EMOTIONS,surprised_proud_happy,positive_reactions,"[14, 12, 54, 58]",40,46,1435,0.9787,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P094_row08_slot09.png
P-R08-C10,poko,EMOTIONS,surprised_proud_happy,positive_reactions,"[2, 2, 53, 50]",51,48,1596,1.0213,1.2439,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P095_row08_slot10.png
P-R08-C11,poko,EMOTIONS,surprised_proud_happy,positive_reactions,"[2, 2, 43, 47]",41,45,1445,0.9574,1.0,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P096_row08_slot11.png
P-R08-C12,poko,EMOTIONS,tired_embarrassed_happy,mixed_reactions,"[2, 2, 43, 48]",41,46,1479,0.9787,1.0,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P097_row08_slot12.png
P-R08-C13,poko,EMOTIONS,tired_embarrassed_happy,mixed_reactions,"[2, 2, 42, 47]",40,45,1426,0.9574,0.9756,1.0,False,within_canonical_band,Perceived body scale is consistent; no resampling required.,characters/poko/detection_candidates/P098_row08_slot13.png
