frame_id,character,source_bbox_xyxy,visible_pixel_bbox_xyxy,detected_row,horizontal_order,tentative_pose_label,tentative_sequence,confidence,notes,candidate_file,component_count,detached_component_count
P-R03-C08,poko,"[447, 146, 503, 188]","[449, 148, 501, 186]",3,8,lowering/lying transition poses,sleeping_transition,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P028_row03_slot08.png,1,0
P-R03-C09,poko,"[516, 139, 566, 189]","[518, 141, 564, 187]",3,9,lowering/lying transition poses,sleeping_transition,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P029_row03_slot09.png,1,0
P-R03-C10,poko,"[578, 150, 632, 187]","[580, 152, 630, 185]",3,10,lowering/lying transition poses,sleeping_transition,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P030_row03_slot10.png,1,0
P-R03-C11,poko,"[641, 152, 700, 187]","[643, 154, 698, 185]",3,11,lowering/lying transition poses,sleeping_transition,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P031_row03_slot11.png,1,0
P-R03-C12,poko,"[711, 138, 756, 189]","[713, 140, 754, 187]",3,12,lowering/lying transition poses,sleeping_transition,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P032_row03_slot12.png,1,0
P-R03-C13,poko,"[773, 147, 823, 187]","[775, 149, 821, 185]",3,13,lowering/lying transition poses,sleeping_transition,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P033_row03_slot13.png,1,0
P-R04-C01,poko,"[11, 209, 56, 258]","[13, 211, 54, 256]",4,1,sleep and wake poses,sleeping,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P034_row04_slot01.png,1,0
P-R04-C02,poko,"[71, 212, 118, 258]","[73, 214, 116, 256]",4,2,sleep and wake poses,sleeping,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P035_row04_slot02.png,1,0
P-R04-C03,poko,"[134, 209, 183, 258]","[136, 211, 181, 256]",4,3,sleep and wake poses,sleeping,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P036_row04_slot03.png,1,0
P-R04-C04,poko,"[198, 211, 246, 258]","[200, 213, 244, 256]",4,4,sleep and wake poses,sleeping,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P037_row04_slot04.png,1,0
P-R04-C05,poko,"[263, 217, 314, 258]","[265, 219, 312, 256]",4,5,sleep and wake poses,sleeping,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P038_row04_slot05.png,1,0
P-R04-C06,poko,"[324, 217, 375, 258]","[326, 219, 373, 256]",4,6,sleep and wake poses,sleeping,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P039_row04_slot06.png,1,0
P-R04-C07,poko,"[386, 221, 450, 258]","[388, 223, 448, 256]",4,7,sleep and wake poses,sleeping,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P040_row04_slot07.png,1,0
P-R04-C08,poko,"[463, 221, 523, 258]","[465, 223, 521, 256]",4,8,sleep and wake poses,sleeping,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P041_row04_slot08.png,1,0
P-R04-C09,poko,"[530, 222, 588, 258]","[532, 224, 586, 256]",4,9,sleep and wake poses,sleeping,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P042_row04_slot09.png,1,0
P-R04-C10,poko,"[598, 210, 655, 258]","[600, 212, 653, 256]",4,10,sleep and wake poses,sleeping,medium,Composite includes 1 detached component(s). Manual visual review recommended.,characters/poko/detection_candidates/P043_row04_slot10.png,2,1
P-R04-C11,poko,"[661, 210, 719, 258]","[663, 212, 717, 256]",4,11,sleep and wake poses,sleeping,medium,Composite includes 1 detached component(s). Manual visual review recommended.,characters/poko/detection_candidates/P044_row04_slot11.png,2,1
P-R04-C12,poko,"[727, 207, 784, 258]","[729, 209, 782, 256]",4,12,sleep and wake poses,sleeping,medium,Composite includes 1 detached component(s). Manual visual review recommended.,characters/poko/detection_candidates/P045_row04_slot12.png,2,1
P-R04-C13,poko,"[793, 207, 845, 258]","[795, 209, 843, 256]",4,13,sleep and wake poses,sleeping,medium,Composite includes 1 detached component(s). Manual visual review recommended.,characters/poko/detection_candidates/P046_row04_slot13.png,2,1
P-R05-C01,poko,"[10, 277, 55, 327]","[12, 279, 53, 325]",5,1,front idle/emotion poses,idle_emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P047_row05_slot01.png,1,0
P-R05-C02,poko,"[70, 277, 114, 328]","[72, 279, 112, 326]",5,2,front idle/emotion poses,idle_emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P048_row05_slot02.png,1,0
P-R05-C03,poko,"[131, 277, 176, 328]","[133, 279, 174, 326]",5,3,front idle/emotion poses,idle_emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P049_row05_slot03.png,1,0
P-R05-C04,poko,"[192, 275, 236, 328]","[194, 277, 234, 326]",5,4,front idle/emotion poses,idle_emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P050_row05_slot04.png,1,0
P-R05-C05,poko,"[251, 279, 296, 328]","[253, 281, 294, 326]",5,5,front idle/emotion poses,idle_emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P051_row05_slot05.png,1,0
P-R05-C06,poko,"[311, 277, 355, 328]","[313, 279, 353, 326]",5,6,front idle/emotion poses,idle_emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P052_row05_slot06.png,1,0
P-R05-C07,poko,"[370, 277, 415, 328]","[372, 279, 413, 326]",5,7,front idle/emotion poses,idle_emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P053_row05_slot07.png,1,0
P-R05-C08,poko,"[429, 277, 473, 327]","[431, 279, 471, 325]",5,8,front idle/emotion poses,idle_emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P054_row05_slot08.png,1,0
P-R05-C09,poko,"[482, 277, 526, 327]","[484, 279, 524, 325]",5,9,front idle/emotion poses,idle_emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P055_row05_slot09.png,1,0
P-R05-C10,poko,"[543, 274, 596, 323]","[545, 276, 594, 321]",5,10,front idle/emotion poses,idle_emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P056_row05_slot10.png,1,0
P-R05-C11,poko,"[614, 274, 668, 323]","[616, 276, 666, 321]",5,11,front idle/emotion poses,idle_emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P057_row05_slot11.png,1,0
P-R05-C12,poko,"[688, 274, 740, 323]","[690, 276, 738, 321]",5,12,front idle/emotion poses,idle_emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P058_row05_slot12.png,1,0
P-R05-C13,poko,"[753, 277, 802, 328]","[755, 279, 800, 326]",5,13,front idle/emotion poses,idle_emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P059_row05_slot13.png,1,0
P-R06-C01,poko,"[9, 350, 53, 401]","[11, 352, 51, 399]",6,1,love/anger reaction poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P060_row06_slot01.png,1,0
P-R06-C02,poko,"[60, 351, 104, 402]","[62, 353, 102, 400]",6,2,love/anger reaction poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P061_row06_slot02.png,1,0
P-R06-C03,poko,"[161, 351, 205, 402]","[163, 353, 203, 400]",6,3,love/anger reaction poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P062_row06_slot03.png,1,0
P-R06-C04,poko,"[215, 352, 259, 402]","[217, 354, 257, 400]",6,4,love/anger reaction poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P063_row06_slot04.png,1,0
P-R06-C05,poko,"[269, 352, 313, 402]","[271, 354, 311, 400]",6,5,love/anger reaction poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P064_row06_slot05.png,1,0
P-R06-C06,poko,"[328, 351, 391, 401]","[330, 353, 389, 399]",6,6,love/anger reaction poses,emotions,medium,Composite includes 1 detached component(s). Manual visual review recommended.,characters/poko/detection_candidates/P065_row06_slot06.png,2,1
P-R06-C07,poko,"[395, 351, 439, 402]","[397, 353, 437, 400]",6,7,love/anger reaction poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P066_row06_slot07.png,1,0
P-R06-C08,poko,"[454, 348, 514, 401]","[456, 350, 512, 399]",6,8,love/anger reaction poses,emotions,medium,Composite includes 1 detached component(s). Manual visual review recommended.,characters/poko/detection_candidates/P067_row06_slot08.png,2,1
P-R06-C09,poko,"[522, 350, 567, 402]","[524, 352, 565, 400]",6,9,love/anger reaction poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P068_row06_slot09.png,1,0
P-R06-C10,poko,"[581, 352, 629, 403]","[583, 354, 627, 401]",6,10,love/anger reaction poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P069_row06_slot10.png,1,0
P-R06-C11,poko,"[644, 349, 701, 401]","[646, 351, 699, 399]",6,11,love/anger reaction poses,emotions,medium,Composite includes 1 detached component(s). Manual visual review recommended.,characters/poko/detection_candidates/P070_row06_slot11.png,2,1
P-R06-C12,poko,"[711, 350, 775, 402]","[713, 352, 773, 400]",6,12,love/anger reaction poses,emotions,medium,Composite includes 1 detached component(s). Manual visual review recommended.,characters/poko/detection_candidates/P071_row06_slot12.png,2,1
P-R06-C13,poko,"[781, 351, 825, 402]","[783, 353, 823, 400]",6,13,love/anger reaction poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P072_row06_slot13.png,1,0
P-R07-C01,poko,"[9, 423, 53, 473]","[11, 425, 51, 471]",7,1,sad/confused/crying poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P073_row07_slot01.png,1,0
P-R07-C02,poko,"[60, 423, 104, 473]","[62, 425, 102, 471]",7,2,sad/confused/crying poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P074_row07_slot02.png,1,0
P-R07-C03,poko,"[111, 423, 155, 474]","[113, 425, 153, 472]",7,3,sad/confused/crying poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P075_row07_slot03.png,1,0
P-R07-C04,poko,"[169, 423, 214, 473]","[171, 425, 212, 471]",7,4,sad/confused/crying poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P076_row07_slot04.png,1,0
P-R07-C05,poko,"[227, 423, 274, 473]","[229, 425, 272, 471]",7,5,sad/confused/crying poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P077_row07_slot05.png,1,0
P-R07-C06,poko,"[287, 423, 331, 473]","[289, 425, 329, 471]",7,6,sad/confused/crying poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P078_row07_slot06.png,1,0
P-R07-C07,poko,"[343, 423, 395, 473]","[345, 425, 393, 471]",7,7,sad/confused/crying poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P079_row07_slot07.png,1,0
P-R07-C08,poko,"[416, 423, 464, 474]","[418, 425, 462, 472]",7,8,sad/confused/crying poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P080_row07_slot08.png,1,0
P-R07-C09,poko,"[482, 421, 539, 474]","[484, 423, 537, 472]",7,9,sad/confused/crying poses,emotions,medium,Composite includes 1 detached component(s). Manual visual review recommended.,characters/poko/detection_candidates/P081_row07_slot09.png,2,1
P-R07-C10,poko,"[562, 424, 606, 475]","[564, 426, 604, 473]",7,10,sad/confused/crying poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P082_row07_slot10.png,1,0
P-R07-C11,poko,"[627, 422, 683, 474]","[629, 424, 681, 472]",7,11,sad/confused/crying poses,emotions,medium,Composite includes 1 detached component(s). Manual visual review recommended.,characters/poko/detection_candidates/P083_row07_slot11.png,2,1
P-R07-C12,poko,"[696, 423, 740, 474]","[698, 425, 738, 472]",7,12,sad/confused/crying poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P084_row07_slot12.png,1,0
P-R07-C13,poko,"[754, 422, 810, 473]","[756, 424, 808, 471]",7,13,sad/confused/crying poses,emotions,medium,Composite includes 1 detached component(s). Manual visual review recommended.,characters/poko/detection_candidates/P085_row07_slot13.png,2,1
P-R08-C01,poko,"[9, 496, 53, 546]","[11, 498, 51, 544]",8,1,surprise/excited reaction poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P086_row08_slot01.png,1,0
P-R08-C02,poko,"[61, 496, 104, 546]","[63, 498, 102, 544]",8,2,surprise/excited reaction poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P087_row08_slot02.png,1,0
P-R08-C03,poko,"[113, 496, 158, 546]","[115, 498, 156, 544]",8,3,surprise/excited reaction poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P088_row08_slot03.png,1,0
P-R08-C04,poko,"[171, 489, 214, 546]","[173, 491, 212, 544]",8,4,surprise/excited reaction poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P089_row08_slot04.png,1,0
P-R08-C05,poko,"[225, 496, 269, 546]","[227, 498, 267, 544]",8,5,surprise/excited reaction poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P090_row08_slot05.png,1,0
P-R08-C06,poko,"[284, 496, 327, 546]","[286, 498, 325, 544]",8,6,surprise/excited reaction poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P091_row08_slot06.png,1,0
P-R08-C07,poko,"[337, 488, 394, 546]","[339, 490, 392, 544]",8,7,surprise/excited reaction poses,emotions,medium,Composite includes 1 detached component(s). Manual visual review recommended.,characters/poko/detection_candidates/P092_row08_slot07.png,2,1
P-R08-C08,poko,"[409, 488, 452, 546]","[411, 490, 450, 544]",8,8,surprise/excited reaction poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P093_row08_slot08.png,1,0
P-R08-C09,poko,"[465, 486, 521, 546]","[467, 488, 519, 544]",8,9,surprise/excited reaction poses,emotions,medium,Composite includes 1 detached component(s). Manual visual review recommended.,characters/poko/detection_candidates/P094_row08_slot09.png,2,1
P-R08-C10,poko,"[545, 494, 600, 546]","[547, 496, 598, 544]",8,10,surprise/excited reaction poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P095_row08_slot10.png,1,0
P-R08-C11,poko,"[612, 498, 657, 547]","[614, 500, 655, 545]",8,11,surprise/excited reaction poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P096_row08_slot11.png,1,0
P-R08-C12,poko,"[669, 497, 714, 547]","[671, 499, 712, 545]",8,12,surprise/excited reaction poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P097_row08_slot12.png,1,0
P-R08-C13,poko,"[724, 498, 768, 547]","[726, 500, 766, 545]",8,13,surprise/excited reaction poses,emotions,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P098_row08_slot13.png,1,0
P-R09-C01,poko,"[9, 574, 56, 624]","[11, 576, 54, 622]",9,1,food/drink activity poses,activities,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P099_row09_slot01.png,1,0
P-R09-C02,poko,"[68, 574, 121, 623]","[70, 576, 119, 621]",9,2,food/drink activity poses,activities,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P100_row09_slot02.png,1,0
P-R09-C03,poko,"[129, 574, 181, 624]","[131, 576, 179, 622]",9,3,food/drink activity poses,activities,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P101_row09_slot03.png,1,0
P-R09-C04,poko,"[190, 573, 236, 626]","[192, 575, 234, 624]",9,4,food/drink activity poses,activities,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P102_row09_slot04.png,1,0
P-R09-C05,poko,"[245, 573, 291, 624]","[247, 575, 289, 622]",9,5,food/drink activity poses,activities,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P103_row09_slot05.png,1,0
P-R09-C06,poko,"[301, 573, 346, 624]","[303, 575, 344, 622]",9,6,food/drink activity poses,activities,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P104_row09_slot06.png,1,0
P-R09-C07,poko,"[359, 574, 414, 624]","[361, 576, 412, 622]",9,7,food/drink activity poses,activities,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P105_row09_slot07.png,1,0
P-R09-C08,poko,"[425, 574, 477, 625]","[427, 576, 475, 623]",9,8,food/drink activity poses,activities,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P106_row09_slot08.png,1,0
P-R09-C09,poko,"[487, 575, 533, 625]","[489, 577, 531, 623]",9,9,food/drink activity poses,activities,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P107_row09_slot09.png,1,0
P-R09-C10,poko,"[543, 576, 589, 625]","[545, 578, 587, 623]",9,10,food/drink activity poses,activities,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P108_row09_slot10.png,1,0
P-R09-C11,poko,"[597, 576, 645, 625]","[599, 578, 643, 623]",9,11,food/drink activity poses,activities,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P109_row09_slot11.png,1,0
P-R09-C12,poko,"[653, 574, 698, 625]","[655, 576, 696, 623]",9,12,food/drink activity poses,activities,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P110_row09_slot12.png,1,0
P-R09-C13,poko,"[710, 577, 758, 625]","[712, 579, 756, 623]",9,13,food/drink activity poses,activities,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P111_row09_slot13.png,1,0
P-R09-C14,poko,"[765, 575, 810, 625]","[767, 577, 808, 623]",9,14,food/drink activity poses,activities,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P112_row09_slot14.png,1,0
P-R10-C01,poko,"[9, 641, 61, 693]","[11, 643, 59, 691]",10,1,food/drink activity continuation,activities,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P113_row10_slot01.png,1,0
P-R10-C02,poko,"[68, 641, 119, 693]","[70, 643, 117, 691]",10,2,food/drink activity continuation,activities,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P114_row10_slot02.png,1,0
P-R10-C03,poko,"[129, 641, 193, 693]","[131, 643, 191, 691]",10,3,food/drink activity continuation,activities,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P115_row10_slot03.png,1,0
P-R10-C04,poko,"[198, 645, 249, 692]","[200, 647, 247, 690]",10,4,food/drink activity continuation,activities,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P116_row10_slot04.png,1,0
P-R10-C05,poko,"[254, 645, 305, 693]","[256, 647, 303, 691]",10,5,food/drink activity continuation,activities,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P117_row10_slot05.png,1,0
P-R10-C06,poko,"[307, 646, 358, 693]","[309, 648, 356, 691]",10,6,food/drink activity continuation,activities,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P118_row10_slot06.png,1,0
P-R10-C07,poko,"[361, 646, 418, 694]","[363, 648, 416, 692]",10,7,food/drink activity continuation,activities,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P119_row10_slot07.png,1,0
P-R10-C08,poko,"[426, 644, 474, 695]","[428, 646, 472, 693]",10,8,food/drink activity continuation,activities,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P120_row10_slot08.png,1,0
P-R10-C09,poko,"[483, 644, 534, 695]","[485, 646, 532, 693]",10,9,food/drink activity continuation,activities,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P121_row10_slot09.png,1,0
P-R10-C10,poko,"[544, 643, 594, 695]","[546, 645, 592, 693]",10,10,food/drink activity continuation,activities,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P122_row10_slot10.png,1,0
P-R10-C11,poko,"[608, 643, 659, 695]","[610, 645, 657, 693]",10,11,food/drink activity continuation,activities,high,Clean composite candidate; final animation ordering not yet assigned.,characters/poko/detection_candidates/P123_row10_slot11.png,1,0
P-R11-C01,poko,"[8, 716, 70, 769]","[10, 718, 68, 767]",11,1,music/dance poses,music_activity,medium,Composite includes 1 detached component(s). Manual visual review recommended.,characters/poko/detection_candidates/P124_row11_slot01.png,2,1
